id;categoria;pergunta;resposta;tags;canal_recomendado;prioridade;status;requer_revisão_humana;motivo_revisao
56;Sinistros;Como faço a participação de sinistro?;Pode participar através do balcão, agente, call center, portal, e-mail ou aplicativo, anexando os documentos e fotos necessários.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
57;Sinistros;O que é peritagem?;É a avaliação técnica dos danos do veículo para determinar causa, extensão, reparação necessária e valor estimado.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
58;Sinistros;Quanto tempo demora a análise do sinistro?;Depende da complexidade, documentos disponíveis, peritagem e responsabilidade. A seguradora deve informar o andamento do processo.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
59;Sinistros;O que é franquia no sinistro?;É a parte do prejuízo que fica a cargo do segurado, quando prevista na apólice.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
60;Sinistros;Tenho de pagar franquia em todos os sinistros?;Não necessariamente. A franquia aplica-se apenas às coberturas e situações indicadas na apólice.;sinistros,sinistro,acidente,pagamento;Atendimento/Sinistros;Alta;Activo;Não;
61;Sinistros;O seguro paga directamente à oficina?;Pode pagar directamente à oficina credenciada ou reembolsar o segurado, conforme acordo e procedimentos da seguradora.;sinistros,pagamento;Atendimento/Sinistros;Alta;Activo;Não;
62;Sinistros;Posso escolher a oficina?;Depende da seguradora e da apólice. Pode haver rede de oficinas recomendadas ou liberdade de escolha, sujeita à aprovação do orçamento.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
63;Sinistros;O que acontece se eu for culpado pelo acidente?;A responsabilidade civil pode indemnizar terceiros. Danos no seu veículo só serão cobertos se tiver cobertura aplicável, como danos próprios.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
64;Sinistros;O que acontece se o outro condutor for culpado?;A seguradora pode reclamar contra a seguradora do responsável ou orientar o processo de indemnização, conforme o caso.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
65;Sinistros;O que é perda total?;É quando o custo de reparação é inviável ou ultrapassa o limite económico definido, podendo resultar em indemnização pelo valor acordado ou valor venal.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
66;Sinistros;Como é calculada a indemnização por perda total?;A indemnização considera o valor seguro ou valor de mercado, deduzindo franquias, salvado e demais condições previstas na apólice.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
67;Sinistros;O que é salvado?;É o veículo ou parte restante após perda total. O seu tratamento depende do acordo entre segurado e seguradora.;sinistros;Atendimento/Sinistros;Alta;Activo;Não;
68;Sinistros;Posso acompanhar o estado do sinistro?;Sim. Pode acompanhar pelo canal de atendimento, agente, portal ou número de processo atribuído.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
69;Sinistros;O que faço se discordar da decisão do sinistro?;Pode solicitar revisão, apresentar novos documentos, pedir esclarecimentos formais ou recorrer aos canais de reclamação disponíveis.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Sim;reclamação/contestação de decisão
70;Sinistros;O seguro cobre despesas médicas após acidente?;Pode cobrir se houver cobertura de ocupantes, acidentes pessoais ou responsabilidade civil aplicável aos lesados.;sinistros,sinistro,acidente;Atendimento/Sinistros;Alta;Activo;Não;
71;Renovação e Cancelamento;Como renovo o seguro automóvel?;A renovação pode ser automática ou mediante pagamento do novo prémio. Deve confirmar as condições, valores e validade antes do vencimento.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
72;Renovação e Cancelamento;A seguradora avisa antes do vencimento?;Normalmente a seguradora ou intermediário envia aviso de renovação, mas o segurado deve controlar a data de validade para evitar interrupção.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
73;Renovação e Cancelamento;Posso cancelar o seguro antes do fim da vigência?;Sim, pode solicitar cancelamento, sujeito às condições contratuais e apresentação de motivo ou documentos quando exigidos.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
74;Renovação e Cancelamento;Como cancelar a apólice por venda do veículo?;Deve apresentar pedido de cancelamento e comprovativo de venda ou transferência de propriedade, conforme exigência da seguradora.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
75;Renovação e Cancelamento;O seguro renova automaticamente?;Depende do contrato e da forma de pagamento. Deve confirmar se existe renovação automática ou necessidade de pagamento manual.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
76;Renovação e Cancelamento;Posso mudar de seguradora na renovação?;Sim. Deve garantir que não haja intervalo sem cobertura entre o fim da apólice antiga e o início da nova.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
77;Renovação e Cancelamento;O que acontece se eu não renovar?;A cobertura termina na data de vencimento ou após o período previsto nas condições. Circular sem seguro válido pode gerar penalizações.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
78;Renovação e Cancelamento;Posso suspender temporariamente o seguro?;Algumas seguradoras permitem suspensão em situações específicas, como veículo parado, mediante análise e regras internas.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
79;Renovação e Cancelamento;O cancelamento tem custos?;Pode haver custos administrativos ou retenção de parte do prémio, conforme as condições da apólice.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
80;Renovação e Cancelamento;Como recebo confirmação do cancelamento?;A seguradora deve emitir comprovativo ou comunicação formal indicando a data de cancelamento e eventuais valores a regularizar.;renovação,e,cancelamento;Atendimento/Portal;Média;Activo;Não;
81;Alterações na Apólice;Como altero a matrícula na apólice?;Deve solicitar endosso à seguradora e apresentar documento actualizado do veículo com a nova matrícula.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
82;Alterações na Apólice;Posso transferir o seguro para outro carro?;Pode ser possível mediante endosso, análise do novo risco e ajuste do prémio.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
83;Alterações na Apólice;Como adiciono um condutor habitual?;Informe os dados do condutor à seguradora. A alteração pode afectar o prémio conforme idade, experiência e histórico.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
84;Alterações na Apólice;Posso alterar o uso do veículo de particular para comercial?;Sim, mas deve comunicar à seguradora porque o uso comercial altera o risco e pode mudar o prémio ou coberturas.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
85;Alterações na Apólice;Como actualizo o meu contacto telefónico?;Pode solicitar actualização no balcão, agente, portal ou linha de atendimento, para garantir recepção de avisos importantes.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
86;Alterações na Apólice;Como altero a morada do segurado?;Deve informar a nova morada e apresentar documento de identificação ou comprovativo quando solicitado.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
87;Alterações na Apólice;Posso aumentar o valor segurado?;Pode solicitar revisão do valor segurado, sujeita à avaliação da seguradora e eventual alteração do prémio.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
88;Alterações na Apólice;Posso reduzir coberturas durante a vigência?;Pode solicitar alteração, mas ela depende das regras da seguradora e pode gerar ajuste de prémio.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
89;Alterações na Apólice;O que é um endosso?;É a alteração formal feita à apólice após a emissão, como mudança de dados, coberturas, veículo ou beneficiário.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
90;Alterações na Apólice;Quanto tempo demora uma alteração na apólice?;Depende da alteração e dos documentos necessários. Alterações simples podem ser processadas rapidamente.;alterações,na,apólice;Atendimento/Portal;Média;Activo;Não;
91;Franquias e Exclusões;O que é franquia?;É o valor ou percentagem que o segurado suporta em caso de sinistro coberto, conforme definido na apólice.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
92;Franquias e Exclusões;Onde vejo o valor da franquia?;A franquia aparece nas condições particulares ou no quadro de coberturas da apólice.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
93;Franquias e Exclusões;O que são exclusões?;São situações que a apólice não cobre, como condução sem carta válida, uso indevido, dolo, competição não autorizada ou falta de manutenção.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
94;Franquias e Exclusões;O seguro cobre acidente com condutor sem carta?;Normalmente não cobre ou pode permitir direito de regresso contra o segurado, porque conduzir sem carta válida é uma exclusão comum.;franquias,e,exclusões,sinistro,acidente;Atendimento/Portal;Alta;Activo;Não;
95;Franquias e Exclusões;O seguro cobre acidente sob efeito de álcool?;Pode ser excluído ou gerar direito de regresso, dependendo da lei e das condições da apólice.;franquias,e,exclusões,sinistro,acidente;Atendimento/Portal;Alta;Activo;Não;
96;Franquias e Exclusões;O seguro cobre uso em corridas?;Geralmente não cobre participação em corridas, provas, treinos ou competições, salvo cobertura específica.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
97;Franquias e Exclusões;O seguro cobre desgaste natural?;Não. Desgaste, envelhecimento, corrosão e falta de manutenção não são considerados sinistros cobertos.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
98;Franquias e Exclusões;O seguro cobre danos intencionais?;Danos causados intencionalmente pelo segurado ou por pessoa com o seu consentimento normalmente estão excluídos.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
99;Franquias e Exclusões;O seguro cobre transporte de carga perigosa?;Somente se declarado e aceite pela seguradora. Omissão desse uso pode invalidar a cobertura.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Não;
100;Franquias e Exclusões;A seguradora pode recusar indemnização?;Sim, se o sinistro estiver excluído, houver falta de cobertura, informações falsas, prémio em atraso ou incumprimento de deveres do segurado.;franquias,e,exclusões;Atendimento/Portal;Alta;Activo;Sim;análise contratual/exclusões de cobertura
101;Assistência em Viagem;Como solicito assistência em viagem?;Contacte a linha de assistência indicada na apólice ou cartão de assistência, informando localização, matrícula, número da apólice e tipo de problema.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
102;Assistência em Viagem;A assistência em viagem funciona 24 horas?;Normalmente sim, mas deve confirmar as condições do serviço contratado e a área geográfica abrangida.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
103;Assistência em Viagem;A assistência cobre reboque?;Sim, se a cobertura estiver activa, dentro dos limites de distância, valor ou eventos previstos.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
104;Assistência em Viagem;A assistência cobre falta de combustível?;Pode cobrir envio de combustível ou reboque, mas o custo do combustível pode ficar a cargo do segurado.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
105;Assistência em Viagem;A assistência cobre pneu furado?;Pode incluir troca de pneu, desempanagem ou reboque, conforme condições e disponibilidade.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
106;Assistência em Viagem;A assistência cobre bateria descarregada?;Pode incluir tentativa de arranque, substituição ou reboque, dependendo do plano contratado.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
107;Assistência em Viagem;Posso pedir assistência se o carro estiver em casa?;"Depende da cobertura. Algumas assistências incluem domicílio; outras apenas funcionam a partir de certa distância da residência.";assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
108;Assistência em Viagem;A assistência fornece viatura de substituição?;Só se a cobertura estiver contratada e dentro dos limites de dias, disponibilidade e condições aplicáveis.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
109;Assistência em Viagem;A assistência cobre transporte dos passageiros?;Pode cobrir transporte ou alojamento dos ocupantes quando o veículo fica imobilizado, conforme limites contratados.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
110;Assistência em Viagem;O que devo informar ao pedir assistência?;Informe nome, matrícula, número da apólice, localização exacta, contacto, descrição do problema e número de ocupantes.;assistência,em,viagem;Linha de Assistência;Alta;Activo;Não;
111;Indemnizações;Como recebo a indemnização?;A indemnização pode ser paga por transferência bancária, cheque ou pagamento directo à oficina, conforme o processo aprovado.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
112;Indemnizações;Que dados bancários são necessários para indemnização?;Geralmente são necessários nome do titular, banco, número de conta ou IBAN quando aplicável e documento de identificação.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
113;Indemnizações;A indemnização pode ser paga a outra pessoa?;Pode ser possível mediante autorização formal, procuração ou documentação exigida pela seguradora.;indemnizações,pagamento;Atendimento/Portal;Alta;Activo;Não;
114;Indemnizações;O que pode atrasar a indemnização?;Falta de documentos, divergência de responsabilidade, necessidade de peritagem, investigação adicional ou dados bancários incorrectos podem atrasar o pagamento.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
115;Indemnizações;A indemnização inclui IVA?;Depende do enquadramento fiscal, tipo de reparação, beneficiário e documentos apresentados.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
116;Indemnizações;A seguradora paga valor novo ou valor de mercado?;Depende da cobertura. Normalmente considera valor seguro, valor venal ou valor de mercado, conforme a apólice.;indemnizações,pagamento;Atendimento/Portal;Alta;Activo;Não;
117;Indemnizações;O que é sub-rogação?;É o direito da seguradora de recuperar junto do responsável os valores pagos ao segurado ou terceiro.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
118;Indemnizações;Posso receber em dinheiro e não reparar o carro?;Depende da política da seguradora e do tipo de sinistro. Em alguns casos pode haver pagamento directo ao segurado.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
119;Indemnizações;Como sei o valor aprovado para reparação?;A seguradora comunica o orçamento aprovado após peritagem e validação da cobertura.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
120;Indemnizações;A indemnização pode ser parcial?;Sim, pode haver indemnização parcial quando apenas parte dos danos está coberta ou quando há aplicação de franquia e limites.;indemnizações;Atendimento/Portal;Alta;Activo;Não;
121;Terceiros e Responsabilidade Civil;Quem é considerado terceiro no seguro automóvel?;Terceiro é a pessoa ou entidade que sofre dano causado pelo veículo segurado, não sendo o próprio segurado nos termos da cobertura contratada.;terceiros,e,responsabilidade;Atendimento/Portal;Alta;Activo;Não;
122;Terceiros e Responsabilidade Civil;O seguro indemniza terceiros mesmo se eu for culpado?;Sim, a responsabilidade civil tem precisamente a função de indemnizar terceiros lesados quando o segurado é responsável, dentro dos limites da apólice.;terceiros,e,responsabilidade;Atendimento/Portal;Alta;Activo;Não;
123;Terceiros e Responsabilidade Civil;O terceiro deve participar o sinistro à minha seguradora?;Pode participar directamente à sua seguradora ou por intermédio do segurado, apresentando documentos e provas do acidente.;terceiros,e,responsabilidade,sinistro,acidente;Atendimento/Portal;Alta;Activo;Não;
124;Terceiros e Responsabilidade Civil;O que acontece se o terceiro não tiver seguro?;A falta de seguro do terceiro não impede a análise da responsabilidade. Se ele for culpado, pode haver cobrança directa ou mecanismos legais aplicáveis.;terceiros,e,responsabilidade;Atendimento/Portal;Alta;Activo;Não;
125;Terceiros e Responsabilidade Civil;Posso tratar directamente com o terceiro sem envolver a seguradora?;Não é recomendado. Deve comunicar o sinistro à seguradora para evitar problemas futuros e garantir análise adequada.;terceiros,e,responsabilidade;Atendimento/Portal;Alta;Activo;Não;
126;Terceiros e Responsabilidade Civil;A responsabilidade civil cobre danos materiais?;Sim, cobre danos materiais causados a terceiros, dentro dos limites contratados.;terceiros,e,responsabilidade;Atendimento/Portal;Alta;Activo;Não;
127;Terceiros e Responsabilidade Civil;A responsabilidade civil cobre danos corporais?;Sim, cobre danos corporais a terceiros, dentro dos limites legais e contratuais.;terceiros,e,responsabilidade;Atendimento/Portal;Alta;Activo;Não;
