id,produto,categoria,pergunta,resposta,intencao,tags,canal_recomendado,prioridade,status,observacoes
SAUDE-FAQ-011,Seguro de Saúde,Coberturas,O que cobre um seguro de saúde?,"Cobre despesas médicas previstas na apólice, como consultas, exames, internamento, medicamentos, maternidade ou estomatologia, conforme o plano contratado.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-012,Seguro de Saúde,Coberturas,Consultas médicas estão incluídas?,"Sim, se a garantia de consultas fizer parte do plano. A comparticipação pode variar conforme a rede e o limite anual.",consulta_cobertura,cobertura;consulta,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-013,Seguro de Saúde,Coberturas,Exames laboratoriais e de diagnóstico estão cobertos?,"Sim, quando prescritos por médico e incluídos nas garantias contratadas, respeitando limites, franquias e autorizações exigidas.",consulta_cobertura,cobertura;exames,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-014,Seguro de Saúde,Coberturas,O seguro cobre internamento hospitalar?,"Sim, caso a garantia de internamento esteja incluída. Pode exigir pré-autorização e estar sujeita a capital máximo anual.",consulta_cobertura,cobertura;internamento,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-015,Seguro de Saúde,Coberturas,Medicamentos são reembolsáveis?,Podem ser reembolsáveis quando a cobertura de medicamentos está incluída e mediante apresentação de receita médica e comprovativo de pagamento.,consulta_cobertura,cobertura;medicamentos,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-016,Seguro de Saúde,Coberturas,O seguro cobre cirurgia?,"Sim, se a cirurgia estiver clinicamente indicada, prevista nas coberturas e autorizada conforme as regras da apólice.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-017,Seguro de Saúde,Coberturas,A maternidade está coberta?,"Pode estar coberta em planos específicos, geralmente sujeita a período de carência e limites próprios.",consulta_cobertura,cobertura;maternidade,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-018,Seguro de Saúde,Coberturas,Vacinas estão incluídas?,"Alguns planos cobrem vacinas recomendadas ou obrigatórias, mediante limites e condições descritos na apólice.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-019,Seguro de Saúde,Coberturas,O seguro cobre fisioterapia?,"Pode cobrir fisioterapia quando prescrita por médico e incluída no plano, respeitando o número de sessões e limites definidos.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-020,Seguro de Saúde,Coberturas,Saúde mental está coberta?,"Alguns planos incluem consultas de psicologia ou psiquiatria, com limites específicos por ano ou por sessão.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-021,Seguro de Saúde,Coberturas,O seguro cobre doenças crónicas?,Pode cobrir acompanhamento de doenças crónicas se não forem excluídas ou consideradas pré-existentes não aceites na apólice.,consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-022,Seguro de Saúde,Coberturas,Emergências médicas estão cobertas?,"Sim, quando relacionadas com situações súbitas e imprevistas, dentro dos limites e condições do plano.",consulta_cobertura,cobertura;emergência,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-023,Seguro de Saúde,Coberturas,O seguro cobre tratamento dentário?,"Apenas se a apólice incluir cobertura de estomatologia ou medicina dentária, normalmente com rede e limites próprios.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-024,Seguro de Saúde,Coberturas,Óculos e lentes estão incluídos?,"Podem estar incluídos em planos com cobertura de oftalmologia, sujeitos a franquias, limites e periodicidade.",consulta_cobertura,cobertura,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-025,Seguro de Saúde,Coberturas,O seguro cobre consultas de especialidade?,"Sim, quando a cobertura de consultas está ativa e o prestador pertence à rede ou quando há direito a reembolso fora da rede.",consulta_cobertura,cobertura;consulta,Linha de Apoio / Portal,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-026,Seguro de Saúde,Exclusões,O que normalmente não está coberto?,"Tratamentos estéticos, atos não prescritos, doenças pré-existentes não aceites, despesas fora das condições da apólice e situações excluídas expressamente.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-027,Seguro de Saúde,Exclusões,Tratamentos estéticos são cobertos?,"Normalmente não, salvo quando sejam necessários por acidente ou indicação clínica coberta pela apólice.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-028,Seguro de Saúde,Exclusões,Doenças pré-existentes estão excluídas?,"Podem estar excluídas ou sujeitas a aceitação especial, agravamento de prémio ou período de carência.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-029,Seguro de Saúde,Exclusões,Automedicação é reembolsada?,Normalmente não. Medicamentos costumam exigir receita médica e enquadramento na cobertura contratada.,consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-030,Seguro de Saúde,Exclusões,Tratamentos experimentais são cobertos?,"Geralmente não são cobertos tratamentos experimentais, não reconhecidos cientificamente ou não autorizados pelas autoridades competentes.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-031,Seguro de Saúde,Exclusões,Despesas sem recibo são aceites?,"Não. Para reembolso é necessário apresentar comprovativos válidos, como fatura, recibo e prescrição médica quando aplicável.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-032,Seguro de Saúde,Exclusões,Lesões causadas por prática desportiva profissional estão cobertas?,"Podem estar excluídas ou exigir cobertura específica, conforme o tipo de desporto e as condições da apólice.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-033,Seguro de Saúde,Exclusões,Tratamentos fora do país estão cobertos?,"Apenas se o plano tiver cobertura internacional ou assistência em viagem, respeitando limites e procedimentos definidos.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-034,Seguro de Saúde,Exclusões,Check-ups sem indicação médica são cobertos?,"Podem não estar cobertos, salvo quando o plano inclui medicina preventiva ou pacote anual de check-up.",consulta_exclusao,exclusões,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-035,Seguro de Saúde,Exclusões,Despesas anteriores ao início da apólice são cobertas?,Não. O seguro cobre apenas eventos ocorridos após a data de início da cobertura e cumpridos os períodos de carência.,consulta_exclusao,exclusões;apólice,Linha de Apoio / Condições Gerais,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-036,Seguro de Saúde,Rede de Prestadores,O que é rede convencionada?,"É o conjunto de clínicas, hospitais, laboratórios e médicos com acordo com a seguradora para prestar serviços em condições negociadas.",rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-037,Seguro de Saúde,Rede de Prestadores,Como encontro uma clínica da rede?,"Pode consultar a lista de prestadores no site, aplicativo, linha de apoio ou através do mediador da seguradora.",rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-038,Seguro de Saúde,Rede de Prestadores,Posso ir a um médico fora da rede?,Depende do plano. Alguns permitem reembolso fora da rede; outros apenas cobrem serviços prestados na rede convencionada.,rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-039,Seguro de Saúde,Rede de Prestadores,O atendimento na rede exige pagamento?,"Pode exigir copagamento, franquia ou pagamento de parte da despesa, conforme o plano e o tipo de serviço.",rede_prestadores,rede;prestador;pagamento,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-040,Seguro de Saúde,Rede de Prestadores,A lista de prestadores pode mudar?,"Sim. A rede pode ser atualizada periodicamente, por isso é recomendável confirmar antes de marcar consulta.",rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-041,Seguro de Saúde,Rede de Prestadores,Preciso de autorização para usar a rede?,"Para consultas simples normalmente não, mas internamentos, cirurgias e exames complexos podem exigir pré-autorização.",rede_prestadores,rede;prestador;autorização,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-042,Seguro de Saúde,Rede de Prestadores,O cartão do seguro é obrigatório na rede?,Normalmente sim. O cartão físico ou digital ajuda a identificar o segurado e aplicar as condições acordadas.,rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-043,Seguro de Saúde,Rede de Prestadores,"Se o prestador negar atendimento, o que faço?",Contacte imediatamente a linha de apoio da seguradora para confirmação de elegibilidade e orientação sobre alternativas.,rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-044,Seguro de Saúde,Rede de Prestadores,Posso escolher qualquer hospital da rede?,"Sim, desde que o hospital esteja habilitado para o serviço pretendido e a cobertura esteja ativa.",rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-045,Seguro de Saúde,Rede de Prestadores,A rede cobre todas as províncias?,A abrangência depende da seguradora e do plano. Deve consultar a lista atualizada de prestadores disponíveis por localização.,rede_prestadores,rede;prestador,Aplicativo / Portal / Linha de Apoio,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-046,Seguro de Saúde,Reembolso,Como peço reembolso de despesas médicas?,"Submeta a fatura, recibo, prescrição médica e relatório clínico quando necessário, dentro do prazo definido pela apólice.",pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-047,Seguro de Saúde,Reembolso,Qual é o prazo para solicitar reembolso?,"O prazo varia por seguradora, mas costuma estar definido nas condições gerais ou particulares da apólice.",pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-048,Seguro de Saúde,Reembolso,Quanto tempo demora o reembolso?,"Após receção da documentação completa, o pagamento é processado dentro do prazo operacional definido pela seguradora.",pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-049,Seguro de Saúde,Reembolso,Posso receber reembolso por consulta fora da rede?,"Sim, se o plano permitir atendimento fora da rede e se a despesa estiver enquadrada nas coberturas contratadas.",pedido_reembolso,consulta;rede;reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-050,Seguro de Saúde,Reembolso,Que documentos são exigidos para reembolso?,"Normalmente fatura, recibo, prescrição médica, relatório clínico, resultados de exames e dados bancários do segurado.",pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-051,Seguro de Saúde,Reembolso,O reembolso pode ser recusado?,"Sim, quando a despesa não está coberta, falta documentação, há exclusão aplicável ou o pedido é entregue fora do prazo.",pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-052,Seguro de Saúde,Reembolso,Posso acompanhar o estado do reembolso?,"Sim, através do portal, aplicativo, linha de apoio ou contacto com o mediador, dependendo dos canais disponíveis.",pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-053,Seguro de Saúde,Reembolso,O reembolso é pago na conta do segurado?,Geralmente sim. O pagamento é feito para a conta bancária indicada e validada pelo segurado.,pedido_reembolso,reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-054,Seguro de Saúde,Reembolso,Reembolso de medicamentos exige receita?,"Sim, normalmente exige receita médica, fatura discriminada e comprovativo de pagamento.",pedido_reembolso,medicamentos;reembolso,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-055,Seguro de Saúde,Reembolso,Posso submeter documentos digitalizados?,"Sim, se a seguradora aceitar submissão digital. Os originais podem ser solicitados para validação posterior.",pedido_reembolso,reembolso;digital,Portal / Aplicativo / Email,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-056,Seguro de Saúde,Autorizações,O que é pré-autorização?,"É a aprovação prévia da seguradora para certos atos médicos, como cirurgias, internamentos, exames complexos ou tratamentos de alto custo.",pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-057,Seguro de Saúde,Autorizações,Quando preciso de pré-autorização?,"Normalmente para internamentos, cirurgias, partos, exames especiais, tratamentos prolongados e procedimentos de custo elevado.",pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-058,Seguro de Saúde,Autorizações,Como solicito uma pré-autorização?,"Envie o pedido médico, relatório clínico, orçamento e dados do prestador pelo canal indicado pela seguradora.",pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-059,Seguro de Saúde,Autorizações,Quanto tempo demora uma autorização?,Depende da complexidade clínica e da documentação entregue. Casos urgentes costumam ter tratamento prioritário.,pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-060,Seguro de Saúde,Autorizações,A autorização garante pagamento integral?,"Não necessariamente. A autorização confirma enquadramento, mas continuam aplicáveis limites, franquias, copagamentos e exclusões.",pre_autorizacao,autorização;pagamento,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-061,Seguro de Saúde,Autorizações,O hospital pode pedir autorização por mim?,"Sim, muitos prestadores da rede submetem o pedido diretamente à seguradora.",pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-062,Seguro de Saúde,Autorizações,Posso fazer o procedimento sem autorização?,"Pode, mas corre o risco de a despesa não ser comparticipada se a pré-autorização era obrigatória.",pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-063,Seguro de Saúde,Autorizações,Autorização vencida ainda é válida?,Não. Autorizações têm prazo de validade e devem ser renovadas se o procedimento não ocorrer dentro desse período.,pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-064,Seguro de Saúde,Autorizações,É necessário relatório médico para autorização?,"Sim, na maioria dos casos é exigido relatório clínico que justifique o procedimento solicitado.",pre_autorizacao,autorização,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-065,Seguro de Saúde,Autorizações,A seguradora pode pedir segunda opinião médica?,"Sim. Para certos atos de maior complexidade, a seguradora pode solicitar avaliação adicional ou segunda opinião.",pre_autorizacao,autorizações,Portal / Prestador / Linha Clínica,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-066,Seguro de Saúde,Prémios e Pagamentos,O que é prémio do seguro de saúde?,É o valor pago pelo segurado ou tomador para manter a apólice ativa e garantir as coberturas contratadas.,pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-067,Seguro de Saúde,Prémios e Pagamentos,Como posso pagar o prémio?,"Pode pagar por transferência, referência bancária, débito direto, mobile money ou outros meios disponibilizados pela seguradora.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-068,Seguro de Saúde,Prémios e Pagamentos,O prémio pode ser mensal?,"Sim, dependendo das opções da seguradora, o pagamento pode ser mensal, trimestral, semestral ou anual.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-069,Seguro de Saúde,Prémios e Pagamentos,O que acontece se eu atrasar o pagamento?,"A apólice pode entrar em incumprimento, ficar suspensa ou ser anulada após os prazos de aviso previstos.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-070,Seguro de Saúde,Prémios e Pagamentos,O valor do prémio pode aumentar?,"Sim. Pode mudar na renovação por idade, sinistralidade, alteração do plano, inflação médica ou atualização tarifária.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-071,Seguro de Saúde,Prémios e Pagamentos,Posso alterar a forma de pagamento?,"Sim, mediante pedido à seguradora e conforme os meios de pagamento disponíveis.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-072,Seguro de Saúde,Prémios e Pagamentos,Há desconto para pagamento anual?,Algumas seguradoras oferecem desconto ou condições diferenciadas para pagamento anual antecipado.,pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-073,Seguro de Saúde,Prémios e Pagamentos,O seguro empresarial é pago pelo colaborador?,"Depende do contrato. Pode ser pago pela empresa, pelo colaborador ou partilhado entre ambos.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-074,Seguro de Saúde,Prémios e Pagamentos,Como obtenho comprovativo de pagamento?,Pode solicitar recibo nos canais da seguradora ou obter automaticamente após liquidação do prémio.,pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-075,Seguro de Saúde,Prémios e Pagamentos,Posso pagar prémios em atraso?,"Pode ser possível dentro do prazo de regularização, sujeito às regras da apólice e aceitação da seguradora.",pagamentos_premio,prémio;pagamento,Balcão / Portal / Mobile Money,Média,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-076,Seguro de Saúde,Sinistros e Emergências,O que é sinistro no seguro de saúde?,"É a ocorrência de uma necessidade médica coberta pela apólice, como consulta, exame, internamento ou tratamento.",emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-077,Seguro de Saúde,Sinistros e Emergências,O que fazer em caso de emergência médica?,Procure assistência imediata no prestador mais próximo e contacte a seguradora assim que possível para orientação e regularização.,emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-078,Seguro de Saúde,Sinistros e Emergências,Preciso comunicar uma emergência à seguradora?,"Sim, especialmente se houver internamento, cirurgia ou despesas elevadas. A comunicação rápida facilita autorizações e cobertura.",emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-079,Seguro de Saúde,Sinistros e Emergências,O seguro cobre ambulância?,Pode cobrir transporte de emergência quando previsto no plano e clinicamente justificado.,emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-080,Seguro de Saúde,Sinistros e Emergências,Em emergência posso usar hospital fora da rede?,"Pode ser aceite em situações urgentes, mas a cobertura dependerá das condições da apólice e da documentação apresentada.",emergencia_sinistro,rede;emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-081,Seguro de Saúde,Sinistros e Emergências,Que documentos devo guardar após uma emergência?,"Guarde relatório médico, faturas, recibos, prescrições, resultados de exames e comprovativos de pagamento.",emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-082,Seguro de Saúde,Sinistros e Emergências,A seguradora pode negar uma emergência?,"Pode recusar despesas que não estejam cobertas, que sejam excluídas ou que não tenham documentação clínica suficiente.",emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-083,Seguro de Saúde,Sinistros e Emergências,Como reporto um internamento urgente?,"Contacte a linha de assistência, informe nome do segurado, número da apólice, hospital, diagnóstico provável e médico assistente.",emergencia_sinistro,internamento;emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-084,Seguro de Saúde,Sinistros e Emergências,O seguro cobre evacuação médica?,"Apenas se houver cobertura específica de evacuação ou assistência médica, geralmente sujeita a autorização da seguradora.",emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
SAUDE-FAQ-085,Seguro de Saúde,Sinistros e Emergências,Posso pedir apoio telefónico numa emergência?,"Sim, se a seguradora disponibilizar linha de assistência 24 horas ou central de apoio médico.",emergencia_sinistro,emergência,Linha 24h / Emergência / Prestador,Alta,Activo,Resposta genérica; adaptar às condições gerais e particulares da seguradora.
